Days,Open,High,Low,Close,Volume
6754.0,15.361,15.567,14.862,15.159,686070000
6755.0,14.899,15.063,14.392,14.523,577610000
6759.0,14.175,14.971,14.055,14.964,651397000
6760.0,15.010,15.319,14.789,15.130,529066000
6761.0,15.456,15.945,15.389,15.858,492903000
6762.0,15.430,16.037001,15.389,15.838,467972000
6765.0,15.526,15.527000,15.038,15.152,437321000
6766.0,15.268,15.431000,14.877,15.082,458483000
6767.0,14.590,15.375000,14.465,15.164,521918000
6768.0,15.108,15.473000,14.728,15.372,456235000
